Attrition,Hiring Year,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Age,Education,Job Involvement,Job Level,Job Satisfaction,Num Companies Worked,Performance Rating,Relationship Satisfaction,Total Working Years,Work Life Balance
Yes,2023,Travel_Rarely,Sales,Marketing,STAFF-37,Male,Sales Representative,Married,Yes,50,Associates Degree,2,1,3,1,3,3,3,3
No,2023,Travel_Rarely,Sales,Marketing,STAFF-38,Female,Sales Representative,Married,No,35,Bachelor's Degree,3,1,4,1,3,1,2,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-39,Female,Research Scientist,Married,Yes,36,Master's Degree,2,1,1,9,3,4,6,4
No,2022,Travel_Frequently,Sales,Life Sciences,STAFF-40,Female,Sales Executive,Married,No,33,Bachelor's Degree,4,2,1,2,3,1,10,3
No,2022,Travel_Rarely,R&D,Other,STAFF-41,Male,Laboratory Technician,Divorced,No,35,Associates Degree,3,1,4,1,3,3,1,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-42,Female,Laboratory Technician,Divorced,No,27,Master's Degree,3,1,1,1,3,4,1,3
Yes,2022,Travel_Rarely,R&D,Life Sciences,STAFF-43,Male,Laboratory Technician,Single,No,26,Bachelor's Degree,1,1,3,1,3,3,1,2
No,2023,Travel_Frequently,Sales,Life Sciences,STAFF-44,Male,Sales Executive,Single,No,27,Bachelor's Degree,3,3,3,1,3,4,9,3
No,2020,Travel_Frequently,R&D,Medical,STAFF-45,Female,Laboratory Technician,Single,No,30,Associates Degree,3,2,4,1,4,4,12,3
Yes,2022,Travel_Rarely,R&D,Technical Degree,STAFF-46,Female,Research Director,Married,No,41,Bachelor's Degree,3,5,3,1,3,4,23,3
No,2023,Non-Travel,Sales,Marketing,STAFF-47,Male,Sales Executive,Single,No,34,Master's Degree,3,2,3,0,4,3,10,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-48,Male,Research Scientist,Married,No,37,Associates Degree,3,1,2,4,4,1,8,3
No,2022,Travel_Frequently,Sales,Marketing,STAFF-49,Male,Sales Executive,Single,Yes,46,Master's Degree,3,2,4,4,4,3,14,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-50,Male,Laboratory Technician,Married,No,35,High School,4,1,4,1,3,4,1,3
Yes,2021,Travel_Rarely,R&D,Life Sciences,STAFF-51,Male,Laboratory Technician,Single,Yes,48,Associates Degree,2,3,3,9,3,4,23,3
Yes,2021,Travel_Rarely,R&D,Technical Degree,STAFF-52,Male,Laboratory Technician,Single,Yes,28,Master's Degree,3,1,3,1,3,3,2,2
No,2021,Travel_Rarely,Sales,Marketing,STAFF-53,Female,Sales Executive,Divorced,Yes,44,Doctoral Degree,3,2,1,5,4,3,9,2
No,2021,Non-Travel,R&D,Medical,STAFF-54,Male,Healthcare Representative,Married,Yes,35,Associates Degree,2,3,1,2,3,3,10,3
No,2022,Travel_Rarely,Sales,Marketing,STAFF-55,Female,Sales Executive,Married,Yes,26,Bachelor's Degree,2,2,4,7,3,3,5,2
No,2023,Travel_Frequently,R&D,Life Sciences,STAFF-56,Female,Research Director,Single,Yes,33,Associates Degree,3,3,4,1,3,3,15,3
No,2022,Travel_Frequently,Sales,Life Sciences,STAFF-57,Male,Sales Executive,Married,No,35,Doctoral Degree,3,3,1,1,4,4,9,2
No,2022,Travel_Rarely,R&D,Medical,STAFF-58,Female,Laboratory Technician,Married,Yes,35,Master's Degree,3,1,1,3,3,3,4,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-59,Male,Laboratory Technician,Divorced,No,31,Master's Degree,3,2,4,3,4,4,10,2
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-60,Male,Manufacturing Director,Divorced,No,37,Master's Degree,2,2,3,1,3,3,7,4
No,2021,Travel_Rarely,R&D,Medical,STAFF-61,Male,Manufacturing Director,Married,Yes,32,Bachelor's Degree,3,2,4,1,4,2,9,3
No,2020,Travel_Frequently,R&D,Life Sciences,STAFF-62,Female,Laboratory Technician,Single,No,38,Doctoral Degree,3,2,4,1,3,4,10,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-63,Female,Research Director,Divorced,Yes,50,Associates Degree,2,5,3,5,3,4,29,2
No,2023,Travel_Rarely,Sales,Life Sciences,STAFF-64,Female,Sales Executive,Single,No,59,Bachelor's Degree,3,3,1,7,3,4,28,2
No,2023,Travel_Rarely,R&D,Technical Degree,STAFF-65,Female,Healthcare Representative,Divorced,No,36,Bachelor's Degree,3,3,3,1,3,2,17,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-66,Female,Manager,Divorced,Yes,55,Bachelor's Degree,3,4,3,2,3,3,21,3
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-67,Male,Manufacturing Director,Single,No,36,Bachelor's Degree,2,2,2,1,3,3,6,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-68,Male,Research Scientist,Divorced,No,45,Bachelor's Degree,3,3,1,2,3,3,25,3
No,2022,Travel_Frequently,R&D,Medical,STAFF-69,Male,Research Scientist,Married,No,35,Bachelor's Degree,3,1,1,4,3,4,5,2
Yes,2022,Travel_Rarely,R&D,Medical,STAFF-70,Male,Research Scientist,Married,Yes,36,Bachelor's Degree,2,1,3,0,3,1,2,2
No,2022,Travel_Frequently,Sales,Life Sciences,STAFF-71,Female,Sales Executive,Single,No,59,High School,2,2,3,7,3,4,20,2
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-72,Male,Research Scientist,Married,No,29,Bachelor's Degree,3,1,2,0,4,4,6,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-73,Male,Research Scientist,Single,No,31,Master's Degree,3,1,2,1,3,2,1,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-74,Male,Research Scientist,Married,No,32,Bachelor's Degree,3,2,2,1,3,2,10,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-75,Female,Laboratory Technician,Married,No,36,Bachelor's Degree,4,1,4,3,3,2,5,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-76,Female,Manufacturing Director,Single,No,31,Master's Degree,3,2,4,1,4,4,11,3
No,2020,Travel_Rarely,Sales,Marketing,STAFF-77,Male,Sales Executive,Single,No,35,Master's Degree,2,2,1,0,3,2,16,3
No,2022,Travel_Rarely,R&D,Other,STAFF-78,Male,Research Director,Married,Yes,45,Master's Degree,3,3,1,4,3,2,17,4
No,2021,Travel_Rarely,R&D,Medical,STAFF-79,Male,Research Director,Single,No,37,Master's Degree,3,3,3,4,3,1,16,4
No,2023,Travel_Rarely,HR,Medical,STAFF-80,Male,Human Resources,Divorced,Yes,46,Associates Degree,3,2,2,8,4,4,16,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-81,Male,Laboratory Technician,Married,Yes,30,High School,2,2,4,1,3,3,10,2
No,2021,Travel_Rarely,R&D,Medical,STAFF-82,Male,Research Scientist,Single,No,35,Bachelor's Degree,2,1,3,1,3,1,6,3
No,2021,Travel_Rarely,Sales,Life Sciences,STAFF-83,Male,Sales Executive,Married,No,55,Associates Degree,3,3,4,3,3,4,24,3
No,2022,Non-Travel,R&D,Medical,STAFF-84,Female,Research Scientist,Divorced,Yes,38,Bachelor's Degree,1,2,4,7,3,4,17,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-85,Male,Manufacturing Director,Married,No,34,Associates Degree,3,2,2,1,3,3,5,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-86,Male,Manufacturing Director,Single,No,56,Bachelor's Degree,1,3,4,4,3,1,37,2
No,2021,Travel_Rarely,Sales,Technical Degree,STAFF-87,Male,Sales Representative,Divorced,No,23,High School,3,1,1,3,3,3,3,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-88,Male,Laboratory Technician,Married,No,51,Master's Degree,3,1,4,3,4,2,10,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-89,Male,Healthcare Representative,Married,No,30,Bachelor's Degree,2,2,4,1,3,1,11,3
Yes,2020,Travel_Rarely,Sales,Medical,STAFF-90,Male,Sales Executive,Single,No,46,Associates Degree,2,3,4,1,3,4,9,3
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-91,Male,Healthcare Representative,Married,No,40,Master's Degree,2,4,2,1,4,4,22,2
No,2020,Travel_Rarely,Sales,Marketing,STAFF-92,Male,Sales Executive,Single,Yes,51,Master's Degree,3,2,4,0,4,4,11,1
No,2023,Travel_Rarely,Sales,Medical,STAFF-93,Female,Sales Executive,Divorced,Yes,30,Associates Degree,2,2,2,1,3,2,11,2
No,2021,Travel_Frequently,R&D,Medical,STAFF-94,Male,Healthcare Representative,Married,Yes,46,Bachelor's Degree,2,3,1,2,3,3,21,2
No,2021,Travel_Rarely,Sales,Medical,STAFF-95,Male,Sales Executive,Single,No,32,Master's Degree,3,2,3,1,3,1,12,3
No,2020,Travel_Rarely,R&D,Technical Degree,STAFF-96,Female,Research Director,Married,No,54,Master's Degree,3,3,3,9,3,1,16,1
No,2021,Travel_Rarely,Sales,Other,STAFF-97,Female,Sales Executive,Married,No,24,Associates Degree,3,2,3,0,4,1,4,2
No,2020,Non-Travel,Sales,Medical,STAFF-98,Male,Sales Executive,Married,No,28,Bachelor's Degree,3,2,3,1,3,2,5,4
No,2021,Travel_Rarely,Sales,Medical,STAFF-99,Male,Sales Executive,Single,No,58,Master's Degree,3,4,3,0,3,3,38,2
No,2020,Non-Travel,R&D,Medical,STAFF-100,Male,Laboratory Technician,Married,No,44,Bachelor's Degree,3,2,2,4,3,3,17,4
Yes,2022,Travel_Rarely,HR,Human Resources,STAFF-101,Male,Human Resources,Divorced,Yes,37,Master's Degree,3,1,1,4,4,4,7,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-102,Male,Research Scientist,Single,No,32,High School,3,1,1,1,3,4,1,3
Yes,2022,Travel_Frequently,R&D,Life Sciences,STAFF-103,Female,Laboratory Technician,Single,Yes,20,Bachelor's Degree,2,1,4,1,3,2,1,3
No,2023,Travel_Rarely,R&D,Other,STAFF-104,Female,Research Scientist,Single,No,34,Master's Degree,3,2,3,1,3,3,16,3
No,2022,Non-Travel,R&D,Life Sciences,STAFF-105,Male,Healthcare Representative,Divorced,No,37,Associates Degree,2,2,4,5,3,4,17,4
No,2021,Non-Travel,HR,Human Resources,STAFF-106,Female,Manager,Married,No,59,Master's Degree,2,5,4,9,4,4,30,3
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-107,Female,Research Director,Married,Yes,50,Bachelor's Degree,3,5,2,3,3,1,28,2
Yes,2022,Travel_Rarely,Sales,Marketing,STAFF-108,Male,Sales Executive,Single,Yes,25,Bachelor's Degree,2,2,3,1,3,4,6,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-109,Male,Research Scientist,Married,No,25,High School,2,1,4,1,3,3,2,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-110,Female,Laboratory Technician,Single,No,22,Bachelor's Degree,3,1,4,1,3,3,1,3
No,2021,Travel_Frequently,R&D,Medical,STAFF-111,Female,Healthcare Representative,Single,No,51,Master's Degree,2,3,1,3,4,3,23,2
Yes,2022,Travel_Frequently,R&D,Life Sciences,STAFF-112,Male,Laboratory Technician,Single,Yes,34,Bachelor's Degree,1,2,3,1,4,4,9,3
No,2022,Non-Travel,HR,Human Resources,STAFF-113,Female,Manager,Single,Yes,54,Bachelor's Degree,4,4,4,2,3,3,23,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-114,Male,Laboratory Technician,Married,No,24,High School,3,1,3,0,3,3,6,3
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-115,Female,Research Scientist,Divorced,No,34,Master's Degree,2,2,2,6,3,3,12,3
No,2021,Travel_Rarely,Sales,Life Sciences,STAFF-116,Male,Sales Executive,Single,No,37,Bachelor's Degree,3,3,4,2,3,1,12,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-117,Female,Manager,Single,No,34,Bachelor's Degree,2,3,1,2,3,4,14,3
No,2023,Travel_Frequently,Sales,Technical Degree,STAFF-118,Female,Sales Executive,Married,No,36,Associates Degree,3,3,4,0,3,3,10,3
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-119,Female,Laboratory Technician,Divorced,No,36,Associates Degree,3,1,4,5,4,1,7,3
No,2020,Travel_Frequently,Sales,Life Sciences,STAFF-120,Male,Manager,Married,Yes,43,Associates Degree,3,4,4,1,3,4,25,4
No,2021,Travel_Frequently,R&D,Life Sciences,STAFF-121,Male,Research Scientist,Divorced,No,30,Bachelor's Degree,1,1,3,1,4,3,10,2
No,2020,Non-Travel,Sales,Marketing,STAFF-122,Male,Sales Executive,Married,No,33,Associates Degree,3,2,2,0,3,1,8,4
Yes,2022,Travel_Rarely,R&D,Life Sciences,STAFF-123,Female,Research Scientist,Married,Yes,56,Master's Degree,3,1,2,9,3,1,7,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-124,Male,Research Director,Single,No,51,Bachelor's Degree,3,5,3,7,3,3,23,3
Yes,2022,Travel_Rarely,Sales,Life Sciences,STAFF-125,Male,Sales Executive,Married,Yes,31,Master's Degree,1,2,3,4,3,2,12,2
No,2022,Travel_Rarely,R&D,Other,STAFF-126,Female,Research Scientist,Married,No,26,Bachelor's Degree,2,1,2,1,3,3,5,2
Yes,2022,Travel_Rarely,R&D,Medical,STAFF-127,Female,Healthcare Representative,Married,No,58,Master's Degree,3,3,4,1,3,4,40,2
Yes,2022,Travel_Rarely,Sales,Marketing,STAFF-128,Male,Sales Representative,Single,Yes,19,High School,3,1,3,1,3,4,0,2
No,2021,Travel_Rarely,R&D,Technical Degree,STAFF-129,Male,Laboratory Technician,Married,No,22,High School,3,1,4,0,3,3,3,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-130,Female,Manufacturing Director,Married,No,49,Master's Degree,3,2,1,1,3,3,16,2
No,2020,Travel_Frequently,R&D,Medical,STAFF-131,Female,Research Scientist,Single,No,43,Bachelor's Degree,4,1,3,4,3,4,18,3
No,2022,Travel_Frequently,Sales,Marketing,STAFF-132,Female,Sales Executive,Single,No,50,Bachelor's Degree,3,3,4,4,3,4,16,3
Yes,2022,Travel_Rarely,Sales,Life Sciences,STAFF-133,Female,Sales Executive,Married,Yes,31,Bachelor's Degree,1,2,3,3,3,3,4,3
No,2020,Travel_Rarely,Sales,Life Sciences,STAFF-134,Male,Sales Executive,Divorced,Yes,41,High School,3,3,3,3,3,3,12,3
No,2020,Travel_Rarely,HR,Life Sciences,STAFF-135,Female,Human Resources,Married,No,26,High School,3,1,3,1,4,4,8,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-136,Male,Manufacturing Director,Divorced,No,36,Associates Degree,3,2,2,6,4,4,7,3
Yes,2022,Travel_Frequently,R&D,Life Sciences,STAFF-137,Male,Manufacturing Director,Single,No,51,Master's Degree,1,3,4,2,3,4,18,3
No,2020,Travel_Rarely,Sales,Life Sciences,STAFF-138,Female,Sales Executive,Married,No,39,Master's Degree,2,2,3,4,3,3,17,4
No,2021,Travel_Rarely,Sales,Life Sciences,STAFF-139,Male,Sales Executive,Married,No,25,Bachelor's Degree,2,2,3,2,3,4,6,3
No,2023,Travel_Rarely,HR,Human Resources,STAFF-140,Male,Human Resources,Married,Yes,30,Bachelor's Degree,3,2,4,0,3,4,12,1
Yes,2022,Travel_Rarely,R&D,Medical,STAFF-141,Female,Laboratory Technician,Single,No,32,Bachelor's Degree,3,1,1,7,4,1,10,4
No,2023,Travel_Rarely,R&D,Medical,STAFF-142,Male,Research Scientist,Single,No,45,Bachelor's Degree,3,1,4,5,3,2,9,2
No,2020,Travel_Rarely,R&D,Technical Degree,STAFF-143,Female,Research Scientist,Single,Yes,38,Doctoral Degree,3,2,3,3,4,2,19,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-144,Female,Research Scientist,Single,No,30,Bachelor's Degree,3,1,3,1,3,3,5,2
No,2020,Travel_Frequently,Sales,Medical,STAFF-145,Male,Sales Executive,Divorced,No,32,Associates Degree,1,2,4,0,3,4,9,4
No,2022,Travel_Rarely,R&D,Technical Degree,STAFF-146,Female,Research Scientist,Divorced,No,30,Bachelor's Degree,3,1,1,5,3,4,8,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-147,Male,Laboratory Technician,Single,No,30,High School,2,1,4,0,3,4,6,3
No,2023,Travel_Frequently,R&D,Life Sciences,STAFF-148,Male,Manager,Divorced,No,41,Bachelor's Degree,2,4,1,4,3,2,21,2
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-149,Male,Laboratory Technician,Married,No,41,Master's Degree,3,1,1,2,4,4,7,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-150,Female,Laboratory Technician,Single,No,19,High School,3,1,2,1,3,4,1,3
No,2022,Travel_Frequently,R&D,Medical,STAFF-151,Female,Research Scientist,Divorced,No,40,Bachelor's Degree,3,2,2,1,3,1,20,3
No,2022,Travel_Rarely,Sales,Marketing,STAFF-152,Male,Sales Executive,Married,No,35,Doctoral Degree,3,3,2,1,3,1,10,3
No,2023,Travel_Rarely,Sales,Marketing,STAFF-153,Male,Sales Representative,Married,Yes,53,Associates Degree,3,2,3,2,4,4,13,1
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-154,Male,Laboratory Technician,Divorced,No,45,Bachelor's Degree,3,2,2,8,3,3,20,1
No,2023,Travel_Frequently,Sales,Marketing,STAFF-155,Female,Sales Executive,Single,No,32,Bachelor's Degree,3,3,4,1,3,4,9,3
No,2023,Non-Travel,R&D,Technical Degree,STAFF-156,Male,Manufacturing Director,Married,No,29,High School,3,2,3,1,3,1,10,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-157,Male,Manufacturing Director,Married,No,51,Master's Degree,2,2,3,2,3,3,10,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-158,Female,Research Scientist,Married,Yes,58,Bachelor's Degree,2,1,2,4,4,2,9,2
No,2020,Travel_Rarely,Sales,Marketing,STAFF-159,Male,Sales Executive,Married,No,40,Master's Degree,2,3,4,7,3,1,15,2
No,2020,Travel_Frequently,Sales,Marketing,STAFF-160,Female,Sales Representative,Married,No,34,Master's Degree,3,1,3,6,3,4,6,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-161,Male,Research Scientist,Married,No,22,High School,3,1,4,1,4,1,2,3
No,2020,Non-Travel,R&D,Medical,STAFF-162,Male,Research Scientist,Divorced,No,27,Bachelor's Degree,3,1,2,6,3,4,6,1
No,2020,Travel_Rarely,R&D,Medical,STAFF-163,Male,Research Scientist,Married,No,28,Bachelor's Degree,3,1,4,1,3,3,5,1
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-164,Male,Healthcare Representative,Divorced,Yes,57,Associates Degree,4,3,4,3,3,2,12,1
No,2023,Non-Travel,R&D,Medical,STAFF-165,Male,Research Scientist,Divorced,Yes,27,Bachelor's Degree,2,1,3,1,3,4,1,2
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-166,Female,Manager,Single,No,50,Bachelor's Degree,3,5,2,3,3,2,21,3
No,2020,Travel_Rarely,R&D,Life Sciences,STAFF-167,Male,Research Scientist,Divorced,No,41,Bachelor's Degree,3,1,3,4,3,1,13,3
No,2023,Travel_Rarely,Sales,Life Sciences,STAFF-168,Female,Sales Executive,Married,No,30,Bachelor's Degree,3,3,4,2,3,3,12,3
No,2023,Travel_Rarely,Sales,Life Sciences,STAFF-169,Female,Sales Executive,Single,No,38,Master's Degree,2,2,4,4,4,3,12,4
No,2022,Travel_Rarely,R&D,Life Sciences,STAFF-170,Male,Research Scientist,Single,No,32,Doctoral Degree,3,1,3,3,4,1,8,3
No,2023,Travel_Rarely,R&D,Technical Degree,STAFF-171,Male,Research Scientist,Married,Yes,27,Bachelor's Degree,3,1,2,0,3,4,6,2
Yes,2022,Travel_Frequently,Sales,Technical Degree,STAFF-172,Female,Sales Representative,Single,No,19,High School,1,1,1,0,4,1,1,4
No,2022,Travel_Frequently,R&D,Medical,STAFF-173,Male,Laboratory Technician,Single,No,36,Associates Degree,3,1,2,4,3,3,13,2
No,2021,Non-Travel,R&D,Medical,STAFF-174,Male,Laboratory Technician,Divorced,No,30,Bachelor's Degree,3,2,1,1,3,3,12,3
No,2022,Travel_Rarely,Sales,Life Sciences,STAFF-175,Female,Sales Executive,Divorced,Yes,45,Associates Degree,3,2,1,4,3,1,9,4
No,2021,Travel_Rarely,R&D,Life Sciences,STAFF-176,Female,Research Scientist,Divorced,Yes,56,Bachelor's Degree,3,1,1,4,3,3,19,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-177,Male,Research Scientist,Single,No,33,Bachelor's Degree,3,1,4,0,3,1,4,4
Yes,2020,Travel_Rarely,R&D,Life Sciences,STAFF-178,Male,Laboratory Technician,Single,No,19,Bachelor's Degree,2,1,4,1,4,3,1,2
No,2020,Travel_Rarely,Sales,Marketing,STAFF-179,Female,Sales Executive,Divorced,No,46,Associates Degree,3,3,1,1,4,3,24,3
No,2023,Travel_Rarely,R&D,Life Sciences,STAFF-180,Female,Laboratory Technician,Single,No,38,Associates Degree,3,1,4,1,3,3,2,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-181,Female,Research Scientist,Married,Yes,31,High School,3,1,4,8,4,3,7,3
No,2022,Travel_Rarely,R&D,Medical,STAFF-182,Female,Research Scientist,Single,No,34,Associates Degree,3,1,2,2,3,4,9,3
Yes,2022,Travel_Rarely,Sales,Marketing,STAFF-183,Female,Sales Representative,Single,Yes,41,Associates Degree,3,1,2,1,4,4,4,2
No,2020,Travel_Rarely,R&D,Medical,STAFF-184,Male,Laboratory Technician,Married,No,50,Bachelor's Degree,2,1,3,2,3,4,5,2
No,2022,Travel_Rarely,R&D,Medical,STAFF-185,Female,Manufacturing Director,Divorced,No,53,Associates Degree,4,2,1,1,3,3,5,3
No,2020,Travel_Rarely,R&D,Medical,STAFF-186,Female,Research Scientist,Married,No,33,Bachelor's Degree,3,1,2,1,3,4,8,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-187,Female,Manager,Married,No,40,High School,3,5,3,1,3,2,21,3
No,2023,Travel_Rarely,R&D,Medical,STAFF-188,Male,Research Director,Single,No,55,Master's Degree,4,5,2,8,3,4,36,3
